model,response_type,prompt_type,accuracy
gpt-4-1106-preview,4_options,P2,95.26226734348562
gpt-4,4_options,P2,94.46428571428571
Mistral-7B-v0.1,3_options,P3,94.16342412451363
gpt-4-1106-preview,4_options,P1,94.10774410774411
Mistral-7B-v0.1,3_options,P1,93.354943273906
Platypus2-70B-instruct,3_options,P2,93.25463743676222
gpt-4-1106-preview,4_options,P3,92.50425894378195
text-davinci-003,3_options,P1,92.44288224956063
Mistral-7B-v0.1,3_options,P0,92.42174629324546
Mistral-7B-v0.1,2_options,P2,92.38845144356955
Mistral-7B-v0.1,2_options,P3,92.27586206896552
Platypus2-70B-instruct,3_options,P3,92.1875
Platypus2-70B-instruct,2_options,P2,92.1259842519685
gpt-4,4_options,P1,92.05087440381558
gpt-4-1106-preview,4_options,P0,91.98542805100182
gpt-4-1106-preview,3_options,P1,91.97080291970804
zephyr-7b-alpha,4_options,P1,91.94244604316546
gpt-4-1106-preview,2_options,P2,91.86351706036746
Mistral-7B-v0.1,2_options,P0,91.86206896551724
Mistral-7B-v0.1,2_options,P1,91.73228346456693
gpt-3.5-turbo,2_options,P2,91.46981627296589
gpt-4-1106-preview,2_options,P3,91.44827586206897
gpt-4,3_options,P1,91.3303437967115
gpt-4-1106-preview,2_options,P1,91.20734908136482
Platypus2-70B-instruct,2_options,P3,91.17241379310344
Llama-2-70b-chat-hf,4_options/option_probs,P2,91.11405835543766
text-davinci-003,3_options,P0,90.9090909090909
zephyr-7b-alpha,2_options,P3,90.88397790055248
gpt-4,4_options,P3,90.73756432246998
Platypus2-70B-instruct,2_options,P1,90.68241469816273
zephyr-7b-alpha,2_options,P1,90.68241469816273
gpt-4,2_options,P1,90.68241469816273
gpt-4,2_options,P3,90.62068965517241
gpt-4-1106-preview,4_options,P4,90.61433447098976
Mistral-7B-v0.1,4_options/option_probs,P1,90.60402684563758
Platypus2-70B-instruct,3_options,P1,90.59011164274322
Mistral-7B-v0.1,4_options,P1,90.57873485868102
zephyr-7b-alpha,4_options,P3,90.50966608084359
zephyr-7b-alpha,4_options,P0,90.37037037037037
Platypus2-70B-instruct,3_options,P0,90.17857142857143
Platypus2-70B-instruct,4_options/option_probs,P3,90.09345794392523
gpt-4,4_options,P0,89.9488926746167
gpt-4-1106-preview,2_options,P0,89.93103448275862
zephyr-7b-alpha,2_options,P2,89.89501312335958
Mistral-7B-v0.1,4_options,P2,89.85714285714286
Mistral-7B-v0.1,4_options/option_probs,P0,89.84485190409026
Mistral-7B-v0.1,4_options,P0,89.84485190409026
Platypus2-70B-instruct,2_options,P0,89.79310344827586
zephyr-7b-alpha,4_options/option_probs,P1,89.78102189781022
gpt-3.5-turbo,2_options,P1,89.501312335958
text-davinci-003,2_options,P1,89.501312335958
text-davinci-003,2_options,P2,89.37007874015748
zephyr-7b-alpha,2_options,P0,89.10344827586206
Platypus2-70B-instruct,4_options,P1,89.03878583473862
gpt-4,2_options,P0,88.9655172413793
Platypus2-70B-instruct,4_options/option_probs,P1,88.9423076923077
gpt-4,2_options,P2,88.84514435695539
Mistral-7B-v0.1,4_options/option_probs,P2,88.79892037786774
gpt-4,4_options,P4,88.74296435272045
Mistral-7B-v0.1,4_options/option_probs,P3,88.71650211565586
Mistral-7B-v0.1,4_options,P3,88.6685552407932
zephyr-7b-alpha,4_options,P2,88.65979381443299
gpt-3.5-turbo,2_options,P0,88.55172413793103
Llama-2-70b-chat-hf,4_options,P2,88.41354723707664
Platypus2-70B-instruct,4_options,P0,88.23529411764706
gpt-4,3_options,P0,88.09106830122592
Llama-2-70b-chat-hf,2_options,P2,87.98798798798799
gpt-3.5-turbo,2_options,P3,87.86206896551724
Platypus2-70B-instruct,4_options/option_probs,P0,87.73234200743494
text-davinci-003,2_options,P0,87.72413793103448
text-davinci-003,2_options,P3,87.0344827586207
Llama-2-70b-chat-hf,4_options/option_probs,P1,86.87002652519894
zephyr-7b-alpha,4_options/option_probs,P0,86.86567164179104
zephyr-7b-alpha,4_options/option_probs,P2,86.39575971731449
Llama-2-70b-chat-hf,4_options,P1,85.96802841918294
Mistral-7B-OpenOrca,2_options,P2,85.95800524934383
Llama-2-70b-chat-hf,3_options,P1,85.91549295774648
Llama-2-70b-chat-hf,3_options,P0,85.13011152416357
Llama-2-70b-chat-hf,2_options,P1,84.34504792332268
Mistral-7B-OpenOrca,2_options,P0,84.0
zephyr-7b-alpha,4_options/option_probs,P3,83.89982110912344
Platypus2-70B-instruct,4_options/option_probs,P4,83.3976833976834
text-davinci-003,4_options,P1,83.28313253012048
Mistral-7B-OpenOrca,2_options,P1,83.2020997375328
Llama-2-70b-chat-hf,4_options/option_probs,P0,82.9608938547486
Llama-2-13b-chat-hf,2_options,P0,82.10526315789474
Llama-2-13b-chat-hf,2_options,P1,82.0919175911252
Mistral-7B-OpenOrca,2_options,P3,81.93103448275862
text-davinci-003,4_options,P3,81.4262023217247
Llama-2-70b-chat-hf,2_options,P0,81.13879003558719
Llama-2-70b-chat-hf,4_options/option_probs,P3,80.97222222222223
Llama-2-70b-chat-hf,2_options,P3,79.51127819548873
Mistral-7B-v0.1,2_options,P4,79.3103448275862
Mistral-7B-v0.1,3_options,P4,79.10863509749304
Llama-2-13b-chat-hf,2_options,P2,78.50318471337579
text-davinci-003,4_options,P0,77.2657450076805
gpt-4-1106-preview,2_options,P4,73.10344827586206
Mistral-7B-v0.1,4_options,P4,66.4804469273743
Mistral-7B-v0.1,4_options/option_probs,P4,66.38888888888889
gpt-4,2_options,P4,63.172413793103445
Mistral-7B-OpenOrca,2_options,P4,52.689655172413794
Platypus2-70B-instruct,2_options,P4,40.827586206896555
Mistral-7B-OpenOrca,4_options,P4,34.6089850249584
Mistral-7B-OpenOrca,4_options/option_probs,P4,34.6089850249584
Llama-2-70b-chat-hf,3_options,P4,24.237288135593218
Llama-2-13b-chat-hf,4_options,P4,23.818181818181813
gpt-3.5-turbo,2_options,P4,22.206896551724142
Llama-2-70b-chat-hf,4_options,P4,21.890547263681597
Llama-2-13b-chat-hf,2_options,P4,21.259842519685037
Llama-2-70b-chat-hf,4_options/option_probs,P4,20.965517241379317
Llama-2-70b-chat-hf,2_options,P4,20.62588904694168
zephyr-7b-alpha,4_options,P4,20.551724137931032
zephyr-7b-alpha,2_options,P4,20.41379310344827
text-davinci-003,4_options,P4,20.193637621023512
zephyr-7b-alpha,4_options/option_probs,P4,19.724137931034477
text-davinci-003,2_options,P4,18.620689655172413
